feature,importance
angle_to_goal_rad,0.09510271
act_shot,0.08899495
n_opponents_visible,0.076467186
score_diff,0.06369193
nearest_opponent_dist,0.05936592
under_pressure,0.05448144
n_opponents_5m,0.054161847
action_distance,0.046084583
n_opponents_10m,0.043231953
n_teammates_visible,0.040205788
action_angle_rad,0.03936014
n_open_teammates,0.039212473
n_clear_passing_lanes,0.038935848
dy,0.038431004
dx,0.035221644
start_y,0.03288634
start_x,0.025865812
has_360_data,0.022535838
target_x,0.021543154
xT_origin,0.017131519
target_xT,0.015792755
act_dispossessed,0.015167759
act_pass,0.015059435
dist_to_goal,0.013299685
target_y,0.0044381362
act_carry,0.0032308206
role_ATT,9.7797674e-05
turnover_danger,1.4630841e-06
role_DEF,0.0
role_MID,0.0
role_GK,0.0
